epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
    1,     1,           1.5702,          0.67416,          0.29868,          0.40191,          0.69985,          0.25458,          0.26408
    1,     2,           9.0131,            1.393,             2.54,          0.54698,            1.006,            2.165,           2.2598
    1,     3,           4.9721,          0.75299,           1.4064,          0.45107,          0.73964,           1.1987,           1.3323
    1,     4,           2.5969,           1.4274,          0.38983,           0.5514,           1.0183,          0.33228,          0.33248
    2,     1,           2.7797,           1.0815,          0.56605,          0.49291,          0.88642,          0.48248,          0.48371
    2,     2,           3.3959,           1.1765,          0.73981,          0.48978,          0.92451,          0.63058,          0.75748
    2,     3,           1.3548,          0.71616,          0.21288,           0.4246,          0.72132,          0.18145,          0.24148
    2,     4,           3.5174,           1.0962,          0.80707,          0.53208,           0.8924,          0.68792,          0.86536
    3,     1,           2.9574,          0.83943,          0.70598,          0.45362,          0.78093,          0.60175,          0.73792
    3,     2,           1.7475,          0.54769,          0.39992,          0.37988,           0.6308,          0.34088,          0.34235
    3,     3,           2.1013,           1.3728,          0.24284,            0.542,          0.99868,          0.20699,          0.20974
    3,     4,           5.0821,           1.5107,           1.1905,          0.59486,           1.0477,           1.0147,           1.0949
    4,     1,           4.7643,           1.1885,           1.1919,           0.4974,          0.92922,            1.016,           1.1377
    4,     2,           1.7861,           1.3078,          0.15943,          0.53482,          0.97476,          0.13589,          0.13619
    4,     3,           2.0177,          0.79499,          0.40756,          0.45157,          0.75998,          0.34739,          0.58166
    4,     4,           1.3436,          0.44261,          0.30033,           0.3799,          0.56706,          0.25599,          0.25628
    5,     1,           2.2505,          0.77254,          0.49266,          0.43216,          0.74917,          0.41992,          0.50843
    5,     2,           2.2003,          0.99157,           0.4029,          0.46101,          0.84876,          0.34342,          0.52361
    5,     3,           2.7937,           1.2703,           0.5078,          0.54943,          0.96068,          0.43283,          0.68486
    5,     4,           1.2348,          0.94573,         0.096352,          0.46291,          0.82891,         0.082123,         0.082152
    6,     1,           2.3035,            1.045,           0.4195,           0.5016,          0.87132,          0.35756,          0.53318
    6,     2,           2.4448,           1.1247,          0.44003,          0.51515,          0.90395,          0.37506,          0.54402
    6,     3,           1.9074,          0.63181,          0.42519,          0.38405,          0.67751,          0.36242,          0.47477
    6,     4,           2.3496,           1.4033,          0.31543,          0.54677,           1.0097,          0.26886,          0.26895
    7,     1,           2.1268,           1.0921,          0.34493,          0.46667,          0.89073,            0.294,          0.54703
    7,     2,           2.3374,            0.809,          0.50945,          0.45401,          0.76665,          0.43423,          0.64529
    7,     3,           1.6679,          0.94006,          0.24262,          0.47231,          0.82642,           0.2068,          0.24178
    7,     4,           3.5362,           1.3166,          0.73987,          0.56368,          0.97804,          0.63063,          0.82235
    8,     1,           2.1011,           0.9447,          0.38548,          0.48086,          0.82845,          0.32857,          0.47147
    8,     2,           3.1573,           1.1543,          0.66767,          0.51089,          0.91577,          0.56909,           0.6198
    8,     3,           2.6146,            1.006,          0.53621,          0.46426,          0.85492,          0.45704,          0.45849
    8,     4,           2.1348,          0.77602,          0.45293,          0.43668,          0.75086,          0.38606,          0.39084
    9,     1,           1.4606,          0.79776,          0.22094,          0.42237,           0.7613,          0.18832,          0.19327
    9,     2,           2.1601,          0.74638,          0.47124,          0.45101,          0.73638,          0.40166,          0.63791
    9,     3,            3.246,           1.2632,          0.66093,          0.53846,            0.958,          0.56335,          0.71312
    9,     4,           3.8733,           1.3576,          0.83857,          0.52446,          0.99314,          0.71476,          0.89946
   10,     1,           2.3011,           1.1939,          0.36909,           0.4801,          0.93133,          0.31459,          0.54646
   10,     2,           3.1076,           1.2951,          0.60416,          0.56703,          0.97001,          0.51497,          0.65012
   10,     3,           2.0156,          0.57314,          0.48082,          0.39869,          0.64529,          0.40983,          0.41239
   10,     4,           2.6811,           0.8296,          0.61715,          0.45231,          0.77635,          0.52603,          0.52826
   11,     1,           2.8631,           1.1227,          0.58014,          0.50466,          0.90312,          0.49448,          0.49607
   11,     2,           2.5513,            0.845,          0.56877,          0.46268,          0.78352,          0.48479,          0.49373
   11,     3,           1.8531,          0.78618,          0.35562,          0.41987,          0.75576,          0.30312,          0.30597
   11,     4,           1.7576,           1.4109,          0.11556,          0.56155,           1.0124,         0.098499,          0.10671
   12,     1,           2.1105,          0.84446,            0.422,          0.46504,          0.78327,           0.3597,          0.53964
   12,     2,           1.5437,          0.83022,          0.23782,          0.43291,          0.77664,          0.20271,          0.21189
   12,     3,            3.298,           1.3887,          0.63646,          0.54808,           1.0044,          0.54249,          0.72843
   12,     4,           1.1731,          0.75448,          0.13954,          0.43005,          0.74037,          0.11894,          0.13502
   13,     1,           1.9562,          0.90415,          0.35067,          0.42552,          0.81048,           0.2989,           0.3725
   13,     2,            2.371,            1.233,          0.37934,          0.54424,          0.94645,          0.32334,          0.40866
   13,     3,           1.6781,          0.86712,          0.27031,          0.45851,          0.79371,           0.2304,          0.36282
   13,     4,          0.98751,          0.80718,         0.060112,          0.44345,          0.76579,         0.051235,          0.06604
   14,     1,           1.7101,           1.1707,          0.17982,          0.50785,          0.92223,          0.15327,          0.15783
   14,     2,           2.6205,          0.68038,           0.6467,          0.42666,          0.70307,          0.55122,           0.6549
   14,     3,           1.5606,          0.85803,          0.23419,          0.43469,          0.78954,          0.19962,           0.3376
   14,     4,           2.0918,           1.3008,          0.26367,          0.51982,          0.97214,          0.22474,          0.22727
   15,     1,           2.4741,           1.3021,          0.39065,          0.52901,          0.97263,          0.33298,          0.33442
   15,     2,           1.2829,          0.32131,          0.32052,          0.32447,          0.48316,           0.2732,          0.27334
   15,     3,           1.8703,           1.0668,          0.26785,          0.49382,          0.88036,          0.22831,          0.24354
   15,     4,           1.4928,           1.1441,          0.11622,           0.4909,          0.91172,          0.09906,         0.099277
   16,     1,           1.6759,          0.85459,          0.27379,          0.42392,          0.78795,          0.23336,          0.24072
   16,     2,           2.2219,          0.94887,          0.42433,          0.46867,          0.83029,          0.36168,          0.40373
   16,     3,           2.1031,          0.97806,          0.37503,          0.42198,          0.84296,          0.31966,          0.32632
   16,     4,            1.181,          0.72412,          0.15228,           0.4275,          0.72532,           0.1298,          0.13387
   17,     1,            1.419,          0.70062,          0.23948,          0.40229,          0.71345,          0.20412,          0.22634
   17,     2,           1.3375,          0.47085,          0.28887,          0.32489,          0.58488,          0.24623,          0.24962
   17,     3,           2.8301,           1.1537,          0.55878,          0.49015,          0.91553,          0.47628,          0.52124
   17,     4,           2.5795,           1.3761,          0.40113,          0.49001,          0.99989,          0.34191,          0.40236
   18,     1,           1.2745,          0.45119,          0.27444,          0.32648,          0.57254,          0.23392,          0.23452
   18,     2,           1.8803,           0.8982,          0.32735,          0.42025,          0.80781,          0.27902,          0.30906
   18,     3,           2.0334,           1.2709,          0.25418,          0.48198,          0.96088,          0.21666,           0.2652
   18,     4,           1.6346,          0.68253,          0.31735,          0.36132,          0.70418,           0.2705,          0.27389
   19,     1,           1.0624,          0.50922,          0.18438,          0.34942,          0.60824,          0.15715,          0.16875
   19,     2,           1.5544,          0.82444,          0.24332,          0.39507,          0.77393,          0.20739,          0.22176
   19,     3,           2.0199,           0.9939,          0.34201,          0.42172,          0.84975,          0.29152,          0.29375
   19,     4,           2.5293,           1.2616,          0.42257,          0.49721,          0.95737,          0.36018,          0.36046
   20,     1,           1.6638,           1.0937,          0.19004,           0.4521,          0.89139,          0.16198,          0.19101
   20,     2,           1.1467,           1.0215,         0.041718,          0.43124,          0.86148,         0.035557,         0.049081
   20,     3,           1.2025,          0.42021,          0.26075,           0.3192,          0.55253,          0.22225,          0.23207
   20,     4,           1.8599,          0.96232,          0.29918,          0.46817,          0.83615,          0.25502,          0.32054
   21,     1,           1.1228,          0.76302,          0.11991,          0.40143,          0.74454,          0.10221,          0.15936
   21,     2,            1.245,          0.66987,          0.19172,          0.36752,          0.69762,          0.16341,          0.17097
   21,     3,           2.2711,           1.0358,          0.41177,          0.44132,          0.86747,          0.35098,          0.35359
   21,     4,           2.6515,           1.1857,          0.48861,          0.49676,          0.92813,          0.41647,          0.41687
   22,     1,           1.5581,          0.66301,          0.29836,          0.37334,          0.69404,          0.25432,          0.27873
   22,     2,           1.9696,          0.93968,          0.34332,          0.43253,          0.82625,          0.29263,          0.29699
   22,     3,           1.4607,          0.89955,          0.18705,          0.39542,          0.80842,          0.15943,          0.16448
   22,     4,           1.6449,           1.0588,          0.19534,          0.47128,          0.87708,           0.1665,          0.21866
   23,     1,           1.2696,          0.55126,          0.23946,          0.32926,          0.63285,           0.2041,          0.20513
   23,     2,           1.7608,           1.1183,          0.21417,           0.4543,          0.90137,          0.18255,           0.1837
   23,     3,           1.9696,           1.0092,          0.32014,           0.4034,          0.85628,          0.27287,          0.29151
   23,     4,           1.1932,          0.53173,          0.22049,          0.36676,          0.62154,          0.18793,          0.20067
   24,     1,          0.67089,          0.54162,         0.043087,          0.29755,           0.6273,         0.036728,           0.0373
   24,     2,           1.3167,          0.78814,           0.1762,          0.40553,           0.7567,          0.15019,           0.1545
   24,     3,           1.3959,          0.93116,          0.15491,          0.38054,           0.8225,          0.13204,           0.1416
   24,     4,           1.6912,           1.1565,          0.17823,          0.44998,          0.91664,          0.15191,          0.16099
   25,     1,          0.92701,          0.54659,           0.1268,           0.3024,          0.63017,          0.10808,          0.11432
   25,     2,           1.5494,          0.83965,          0.23658,          0.34594,          0.78104,          0.20165,          0.21472
   25,     3,           1.6382,          0.96868,          0.22318,           0.3933,           0.8389,          0.19023,          0.19476
   25,     4,           1.1437,          0.87019,         0.091187,          0.40261,          0.79511,         0.077728,           0.0812
   26,     1,           1.0858,          0.94006,         0.048586,          0.36583,          0.82642,         0.041414,          0.05231
   26,     2,           1.3951,           1.0306,           0.1215,          0.40261,          0.86529,          0.10356,          0.13777
   26,     3,          0.93261,          0.42091,          0.17057,          0.29303,          0.55299,          0.14538,           0.1959
   26,     4,          0.88971,          0.72271,         0.055668,          0.32979,          0.72461,         0.047447,         0.050434
   27,     1,          0.97529,          0.69385,         0.093815,          0.29589,          0.70999,         0.079964,         0.097001
   27,     2,           1.2601,           1.0302,         0.076632,          0.37413,          0.86512,         0.065319,         0.072357
   27,     3,          0.88065,          0.70351,         0.059044,           0.3672,          0.71492,         0.050327,         0.055949
   27,     4,          0.77483,          0.68241,         0.030804,          0.36221,          0.70412,         0.026257,         0.026347
   28,     1,           1.2233,          0.93151,         0.097263,          0.38932,          0.82265,         0.082903,         0.098986
   28,     2,           1.0774,          0.79384,         0.094532,          0.39124,          0.75943,         0.080576,         0.089909
   28,     3,          0.95751,           0.7679,         0.063204,          0.31694,          0.74692,         0.053871,         0.066092
   28,     4,           0.8126,          0.62847,         0.061378,          0.31408,          0.67572,         0.052315,         0.054946
   29,     1,            1.173,          0.87499,          0.09935,          0.35859,           0.7973,         0.084682,          0.12969
   29,     2,           1.3401,          0.83343,          0.16888,          0.34257,          0.77814,          0.14395,          0.16233
   29,     3,           0.8912,          0.66897,         0.074076,          0.33796,          0.69715,         0.063139,         0.072756
   29,     4,           1.3567,          0.85711,          0.16652,          0.40162,          0.78912,          0.14193,          0.14838
   30,     1,          0.97443,          0.78235,         0.064028,          0.35312,          0.75392,         0.054573,         0.056293
   30,     2,           0.9322,          0.72993,         0.067423,          0.36246,          0.72822,         0.057468,         0.070057
   30,     3,           1.1966,          0.80694,          0.12987,          0.32304,          0.76567,           0.1107,          0.11634
   30,     4,           1.0112,          0.86524,         0.048668,          0.33799,          0.79285,         0.041481,         0.041657
   31,     1,           1.2242,          0.79705,           0.1424,           0.3012,          0.76097,          0.12137,          0.13017
   31,     2,           1.0511,          0.62182,           0.1431,           0.3182,          0.67213,          0.12197,          0.13078
   31,     3,           1.3124,           1.0766,           0.0786,          0.40179,          0.88442,         0.066996,         0.070981
   31,     4,          0.62987,          0.36966,         0.086739,          0.28395,          0.51823,         0.073933,         0.097342
   32,     1,           1.3437,          0.86785,          0.15863,          0.35933,          0.79405,          0.13521,           0.1389
   32,     2,           1.1265,          0.52188,          0.20153,          0.29701,          0.61576,          0.17178,          0.18396
   32,     3,           1.3342,          0.83413,          0.16667,          0.31215,          0.77847,          0.14207,          0.15766
   32,     4,           1.1474,          0.86479,         0.094219,          0.38015,          0.79264,         0.080311,         0.085786
   33,     1,           1.3716,           0.9983,          0.12444,          0.36453,          0.85164,          0.10607,          0.11304
   33,     2,           1.3125,          0.54377,          0.25625,           0.2956,          0.62853,          0.21841,          0.22131
   33,     3,           1.4506,          0.65884,           0.2639,          0.30397,          0.69185,          0.22494,          0.22528
   33,     4,             1.56,          0.98392,          0.19204,           0.3952,          0.84548,          0.16369,          0.18481
   34,     1,           1.3116,           1.1488,         0.054258,          0.41153,          0.91358,         0.046247,         0.052551
   34,     2,            0.435,          0.31424,         0.040253,          0.24481,          0.47781,         0.034309,           0.0398
   34,     3,           1.5694,            1.104,          0.15513,          0.39983,           0.8956,          0.13222,          0.13637
   34,     4,          0.30468,          0.20142,          0.03442,          0.20733,          0.38254,         0.029339,         0.033641
   35,     1,           1.1262,           1.0241,         0.034027,          0.40654,          0.86257,         0.029005,         0.034789
   35,     2,          0.99915,          0.76867,         0.076828,          0.34476,           0.7473,         0.065485,         0.071858
   35,     3,          0.91636,          0.45815,          0.15274,          0.24526,          0.57693,          0.13019,           0.1308
   35,     4,           1.0007,          0.78829,         0.070797,          0.31508,          0.75677,         0.060345,         0.081692
   36,     1,           1.3399,           1.1161,         0.074606,           0.3996,          0.90048,         0.063591,          0.06754
   36,     2,          0.76966,          0.60488,         0.054926,          0.29057,          0.66292,         0.046818,         0.054073
   36,     3,          0.55616,          0.35065,         0.068504,          0.24815,          0.50473,         0.058392,         0.060746
   36,     4,           1.1559,           1.0907,         0.021717,          0.42077,          0.89019,         0.018509,          0.01936
   37,     1,           1.0748,           0.9513,         0.041157,          0.39783,          0.83135,         0.035078,         0.042358
   37,     2,           1.0036,          0.84099,         0.054201,          0.32672,          0.78166,         0.046198,         0.049752
   37,     3,          0.88723,          0.76139,         0.041945,          0.34196,          0.74375,         0.035753,         0.041122
   37,     4,          0.16437,          0.12516,         0.013073,          0.16148,          0.30154,         0.011143,         0.011146
   38,     1,           1.5009,           1.2407,         0.086727,          0.40493,          0.94943,         0.073923,         0.074226
   38,     2,          0.84988,          0.63279,         0.072363,           0.3155,          0.67804,         0.061676,         0.069375
   38,     3,          0.80683,          0.53265,         0.091393,          0.28244,          0.62208,           0.0779,         0.082309
   38,     4,          0.54255,          0.32591,         0.072212,          0.26992,           0.4866,         0.061546,         0.065224
   39,     1,          0.93413,          0.78171,         0.050808,          0.34706,          0.75361,         0.043304,         0.053743
   39,     2,          0.76466,          0.61822,         0.048813,          0.27252,          0.67018,         0.041607,         0.054771
   39,     3,          0.86821,          0.69412,         0.058029,          0.34394,          0.71013,         0.049461,         0.057161
   39,     4,          0.97172,           0.8951,         0.025539,          0.34023,          0.80642,         0.021767,         0.026421
   40,     1,           1.0775,           1.0035,         0.024687,          0.40304,          0.85384,         0.021044,         0.027028
   40,     2,          0.57985,          0.44664,         0.044401,          0.25862,          0.56964,         0.037844,         0.045702
   40,     3,           1.2703,          0.99969,         0.090219,          0.38171,          0.85223,         0.076899,         0.089897
   40,     4,          0.26231,          0.18779,         0.024841,          0.18036,          0.36936,         0.021175,         0.021887
   41,     1,          0.98139,          0.82664,         0.051584,          0.34407,          0.77496,         0.043968,         0.045512
   41,     2,           1.1968,          0.95409,         0.080906,           0.3763,          0.83256,          0.06896,         0.079457
   41,     3,          0.58379,          0.36889,          0.07163,          0.23101,           0.5177,         0.061052,         0.069986
   41,     4,          0.99915,          0.73874,         0.086803,          0.35507,           0.7326,         0.073986,         0.079242
   42,     1,           1.3049,          0.98795,          0.10564,          0.35613,          0.84721,         0.090046,         0.097423
   42,     2,          0.54537,          0.44021,         0.035053,          0.26356,          0.56553,         0.029879,         0.035237
   42,     3,          0.74198,          0.68767,         0.018105,          0.32597,          0.70683,          0.01543,         0.017095
   42,     4,          0.97419,          0.75359,         0.073532,          0.35767,          0.73993,         0.062675,         0.081308
   43,     1,          0.88866,          0.57443,          0.10474,          0.30841,          0.64601,         0.089281,         0.096139
   43,     2,           1.4036,          0.93835,          0.15509,           0.3723,          0.82567,          0.13219,          0.13281
   43,     3,          0.49808,          0.42372,         0.024784,          0.23759,          0.55483,         0.021124,         0.023042
   43,     4,           1.4038,          0.98906,          0.13824,          0.39046,          0.84768,          0.11783,          0.11825
   44,     1,           0.9567,          0.79852,         0.052727,          0.35628,          0.76167,         0.044943,         0.056355
   44,     2,          0.96376,          0.64794,          0.10527,           0.3259,           0.6861,         0.089731,         0.094166
   44,     3,          0.71089,          0.59321,         0.039228,          0.26747,          0.65649,         0.033438,         0.038715
   44,     4,           1.1466,          0.78319,          0.12113,          0.32516,          0.75432,          0.10324,          0.10914
   45,     1,          0.79566,          0.50494,         0.096909,          0.26451,          0.60568,         0.082602,         0.090178
   45,     2,           1.0719,           0.7979,         0.091337,          0.34623,          0.76137,         0.077852,         0.087894
   45,     3,          0.82456,           0.6586,         0.055321,          0.29988,          0.69172,         0.047153,         0.048417
   45,     4,           1.1453,          0.90502,         0.080078,          0.39616,          0.81087,         0.068256,         0.069348
   46,     1,           1.0436,          0.68465,          0.11965,          0.30406,          0.70527,          0.10198,          0.10944
   46,     2,             0.96,          0.79858,         0.053808,          0.34694,          0.76169,         0.045864,         0.052167
   46,     3,          0.84117,          0.57206,         0.089701,          0.30173,          0.64468,         0.076456,         0.088004
   46,     4,          0.89078,          0.71804,         0.057579,          0.31545,          0.72227,         0.049076,         0.049929
   47,     1,           1.3906,           1.0388,          0.11729,          0.37521,          0.86873,         0.099974,          0.10446
   47,     2,          0.42547,          0.30551,         0.039984,           0.2509,          0.47113,         0.034079,         0.038256
   47,     3,          0.96633,          0.76204,         0.068094,          0.33224,          0.74407,         0.058039,         0.061968
   47,     4,          0.66769,          0.44421,         0.074493,            0.266,          0.56809,         0.063492,          0.06509
   48,     1,          0.85287,          0.65933,         0.064512,          0.30076,          0.69211,         0.054985,         0.064119
   48,     2,          0.86391,          0.72667,         0.045746,          0.33236,           0.7266,          0.03899,         0.043157
   48,     3,          0.82802,          0.62342,         0.068201,          0.33032,            0.673,          0.05813,         0.062128
   48,     4,          0.72024,          0.55393,         0.055439,          0.24129,          0.63438,         0.047253,         0.057159
   49,     1,          0.55562,          0.42636,         0.043087,          0.25014,          0.55656,         0.036724,         0.048803
   49,     2,          0.92465,          0.68081,         0.081282,          0.30187,          0.70329,         0.069283,          0.08052
   49,     3,          0.74938,          0.65613,         0.031084,          0.32388,          0.69043,         0.026495,          0.03293
   49,     4,           1.1057,           1.0089,         0.032272,          0.41145,          0.85612,         0.027508,         0.027509
   50,     1,           1.0009,           0.7207,         0.093393,          0.35409,           0.7236,         0.079607,         0.089624
   50,     2,          0.78777,          0.54109,         0.082226,          0.27867,          0.62699,         0.070086,         0.078652
   50,     3,           0.5548,          0.40927,         0.048508,          0.24627,          0.54529,         0.041348,         0.056562
   50,     4,           1.7007,           1.1527,          0.18264,          0.39793,          0.91514,          0.15567,          0.15583
   51,     1,          0.93513,          0.63484,           0.1001,          0.32028,          0.67913,          0.08532,         0.092977
   51,     2,          0.74623,          0.62557,         0.040222,           0.3274,          0.67416,         0.034283,         0.038324
   51,     3,          0.99811,          0.65324,          0.11495,          0.29894,          0.68891,         0.097982,          0.11069
   51,     4,          0.97649,           0.4945,          0.16066,           0.2308,          0.59938,          0.13694,          0.13698
   52,     1,           0.9172,          0.70271,         0.071497,          0.33088,          0.71451,         0.060942,         0.068007
   52,     2,          0.67735,          0.45693,         0.073475,          0.27609,          0.57617,         0.062628,         0.078569
   52,     3,          0.87466,          0.54611,          0.10952,          0.27835,          0.62989,         0.093348,           0.1002
   52,     4,           1.3448,          0.88183,          0.15433,          0.35411,          0.80041,          0.13155,          0.13373
   53,     1,           1.0319,          0.81407,         0.072618,          0.32821,          0.76905,         0.061895,         0.066352
   53,     2,          0.60447,          0.30583,         0.099548,          0.22904,          0.47137,          0.08485,          0.10422
   53,     3,          0.83538,          0.67691,         0.052822,          0.34785,          0.70128,         0.045023,         0.058274
   53,     4,          0.96815,          0.72955,         0.079533,          0.32248,          0.72803,         0.067787,         0.084575
   54,     1,          0.59646,          0.49894,         0.032509,          0.29269,          0.60207,         0.027708,         0.036411
   54,     2,          0.80045,          0.64636,         0.051363,          0.29799,          0.68527,         0.043779,         0.050903
   54,     3,           1.0698,          0.82325,         0.082184,          0.34339,          0.77337,         0.070049,         0.074623
   54,     4,          0.51035,          0.19223,          0.10604,          0.22512,          0.37371,         0.090385,           0.1014
